Graded Commit:3c376e42e569fdc9e11a8409f6468e322c135538

TEST NAME, POINTS,OUT OF
audio_header_suite/read_header,1,1,
audio_header_suite/write_header,1,1,
audio_suite/read_sample_EOF,1,1,
audio_suite/read_sample_normal,1,1,
audio_suite/write_sample_normal,1,1,
basecode_tests_suite/goertzel_basic_test,1,1,
basecode_tests_suite/help_system_test,1,1,
basecode_tests_suite/validargs_detect_test,1,1,
basecode_tests_suite/validargs_error_test,1,1,
basecode_tests_suite/validargs_generate_test,1,1,
basecode_tests_suite/validargs_help_test,1,1,
black_box_detect_suite/basic,1,1,
black_box_generate_suite/basic,1,1,
detect_suite/basic,1,1,
detect_suite/connecting_events,1,1,
detect_suite/finer_grained_events,1,1,
detect_suite/full_output,1,1,
detect_suite/high_noise,1,1,
detect_suite/larger_block,1,1,
detect_suite/low_noise,1,1,
detect_suite/narrower_gap,1,1,
detect_suite/null_input,1,1,
detect_suite/too_small_block,1,1,
detect_suite/truncated_header,1,1,
exit_status_suite/dtmf_d,1,1,
exit_status_suite/dtmf_g,1,1,
exit_status_suite/dtmf_h,1,1,
exit_status_suite/dtmf_invalid_arg,1,1,
exit_status_suite/no_args,1,1,
generate_suite/basic,1,1,
generate_suite/connecting_events,1,1,
generate_suite/early_eof,1,1,
generate_suite/events_out_of_range,1,1,
generate_suite/high_noise,1,1,
generate_suite/invalid_events,1,1,
generate_suite/low_noise,1,1,
generate_suite/narrower_gaps,1,1,
generate_suite/overlapping_events,1,1,
generate_suite/short_noise,1,1,
goertzel_suite/goertzel_init,1,1,
goertzel_suite/goertzel_step,1,1,
goertzel_suite/goertzel_strength,1,1,
goertzel_suite/step_signal,1,1,
goertzel_suite/zero_signal,1,1,
validargs_suite/dtmf,1,1,
validargs_suite/dtmf_d,1,1,
validargs_suite/dtmf_d_b_bsize,1,1,
validargs_suite/dtmf_d_b_invalidBSize,1,1,
validargs_suite/dtmf_g,1,1,
validargs_suite/dtmf_g_n_noiseFile_l_invalidLevel,1,1,
validargs_suite/dtmf_g_n_noiseFile_l_level,1,1,
validargs_suite/dtmf_g_n_noise_file,1,1,
validargs_suite/dtmf_g_n_noise_file_l_level,1,1,
validargs_suite/dtmf_g_t_2000,1,1,
validargs_suite/dtmf_h,1,1,
validargs_suite/dtmf_h_g_d,1,1,
validargs_suite/dtmf_illegal_flags,1,1,
total,57,57
